img,x,y,brightness,alpha,surrounding_brightness
src/data/6.png,24,1,35,255,36
src/data/6.png,25,1,35,255,36
src/data/6.png,26,1,35,255,34
src/data/6.png,27,1,36,255,32
src/data/6.png,28,1,36,255,33
src/data/6.png,29,1,40,255,32
src/data/6.png,30,1,36,255,33
src/data/6.png,31,1,30,255,34
src/data/6.png,32,1,38,255,32
src/data/6.png,10,2,44,255,38
src/data/6.png,11,2,39,255,41
src/data/6.png,12,2,36,255,41
src/data/6.png,13,2,40,255,40
src/data/6.png,14,2,39,255,38
src/data/6.png,15,2,39,255,35
src/data/6.png,16,2,40,255,35
src/data/6.png,17,2,44,255,33
src/data/6.png,31,2,33,255,32
src/data/6.png,32,2,32,255,32
src/data/6.png,7,3,43,255,40
src/data/6.png,8,3,36,255,39
src/data/6.png,9,3,35,255,39
src/data/6.png,10,3,38,255,39
src/data/6.png,11,3,40,255,39
src/data/6.png,12,3,41,255,39
src/data/6.png,13,3,41,255,39
src/data/6.png,31,3,32,255,30
src/data/6.png,32,3,28,255,31
src/data/6.png,1,4,46,255,33
src/data/6.png,2,4,40,255,36
src/data/6.png,3,4,47,255,32
src/data/6.png,5,4,47,255,39
src/data/6.png,6,4,43,255,42
src/data/6.png,7,4,40,255,41
src/data/6.png,8,4,41,255,38
src/data/6.png,31,4,30,255,28
src/data/6.png,32,4,30,255,28
src/data/6.png,1,5,31,255,33
src/data/6.png,2,5,28,255,34
src/data/6.png,3,5,29,255,35
src/data/6.png,4,5,32,255,39
src/data/6.png,5,5,40,255,41
src/data/6.png,6,5,43,255,42
src/data/6.png,31,5,28,255,28
src/data/6.png,32,5,26,255,28
src/data/6.png,0,6,36,255,33
src/data/6.png,1,6,22,255,33
src/data/6.png,2,6,26,255,31
src/data/6.png,3,6,36,255,33
src/data/6.png,4,6,40,255,34
src/data/6.png,31,6,28,255,28
src/data/6.png,32,6,28,255,28
src/data/6.png,0,7,39,255,32
src/data/6.png,1,7,31,255,33
src/data/6.png,2,7,44,255,28
src/data/6.png,31,7,28,255,32
src/data/6.png,32,7,33,255,29
src/data/6.png,30,8,43,255,30
src/data/6.png,31,8,26,255,36
src/data/6.png,32,8,39,255,31
